"Name","Event Type","Description","Image","Contact URL","Booking URL","Contact Phone Number","Booking Phone Number","Venue Name","Address","County","Latitude","Longitude","Is Free To Visit","Price","Start Date","End Date","Start Time","End Time","Recurring Dates"
"Elinor O’Donovan: Winter Sun","Event","Winter Sun is a moving-image work by Cork artist Elinor O’Donovan.

The work is a preserved piece of a warm Cork summer, saved for the months when it is most needed. Taking as its inspiration the iconic view from the top of Patrick’s Hill at Bells Field, the video work is a looping film depicting Corkonians sharing a moment of togetherness, connected by their mutual appreciation for a setting summer sun.

Projection-Mapping: Lightscape Studios
3D Artist: Bassam Issa Al-Sabah
Cinematography: Jack Desmond

Part of Island City – Cork’s Urban Sculpture Trail.

Readers are advised to check with the organiser before relying on the details published here. ","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/8a82912e-e327-4e85-affd-6dcb720dadcd/islandcitycork.jpg?w=640&q=66&fit=scale","https://triskelartscentre.ie/events/elinor-o-e2-80-99donovan-winter-sun/",,"00353214272022","","Triskel Arts Centre","Triskel Arts Centre, Tobin St, Centre, Cork","Cork","51.8973901","-8.476346399999999","Yes","","28/04/2026","28/04/2026",,,"Yes"
"Elinor O’Donovan: Winter Sun","Event","Winter Sun is a moving-image work by Cork artist Elinor O’Donovan.

The work is a preserved piece of a warm Cork summer, saved for the months when it is most needed. Taking as its inspiration the iconic view from the top of Patrick’s Hill at Bells Field, the video work is a looping film depicting Corkonians sharing a moment of togetherness, connected by their mutual appreciation for a setting summer sun.

Projection-Mapping: Lightscape Studios
3D Artist: Bassam Issa Al-Sabah
Cinematography: Jack Desmond

Part of Island City – Cork’s Urban Sculpture Trail.

Readers are advised to check with the organiser before relying on the details published here. ","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/8a82912e-e327-4e85-affd-6dcb720dadcd/islandcitycork.jpg?w=640&q=66&fit=scale","https://triskelartscentre.ie/events/elinor-o-e2-80-99donovan-winter-sun/",,"00353214272022","","Triskel Arts Centre","Triskel Arts Centre, Tobin St, Centre, Cork","Cork","51.8973901","-8.476346399999999","Yes","","27/04/2026","27/04/2026",,,"Yes"
"Elinor O’Donovan: Winter Sun","Event","Winter Sun is a moving-image work by Cork artist Elinor O’Donovan.

The work is a preserved piece of a warm Cork summer, saved for the months when it is most needed. Taking as its inspiration the iconic view from the top of Patrick’s Hill at Bells Field, the video work is a looping film depicting Corkonians sharing a moment of togetherness, connected by their mutual appreciation for a setting summer sun.

Projection-Mapping: Lightscape Studios
3D Artist: Bassam Issa Al-Sabah
Cinematography: Jack Desmond

Part of Island City – Cork’s Urban Sculpture Trail.

Readers are advised to check with the organiser before relying on the details published here. ","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/8a82912e-e327-4e85-affd-6dcb720dadcd/islandcitycork.jpg?w=640&q=66&fit=scale","https://triskelartscentre.ie/events/elinor-o-e2-80-99donovan-winter-sun/",,"00353214272022","","Triskel Arts Centre","Triskel Arts Centre, Tobin St, Centre, Cork","Cork","51.8973901","-8.476346399999999","Yes","","29/04/2026","29/04/2026",,,"Yes"
"The Flag by artist Emily Aoibheann - The National Gallery of Ireland","Event","Blending contemporary dance, live brass, sculptural sound and archival research, the work unfolds as a promenade experience that audiences are free to enter, exit, and linger with.

The Flag reflects on national identity as something felt through resonance and tension, exploring how history inhabits bodies, objects and sound. Performed without fixed seating, the piece invites viewers to move through cycles of playful horn calls, resonant tuba solos, layered field recordings, and intricate ribbon choreography.

The Flag transforms the Shaw Room into a living sculpture, where movement and music unfold as a mesmeric process.

The Flag is funded by the Arts Council / An Chomhairle Ealaíon and supported by Dance Ireland.s","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/a1833606-b3fd-476b-ba9a-cad0d71f7193/d9bd54fb-3a77-4c77-9283-ba06eb11e319.jpg?w=640&q=66&fit=scale","https://www.nationalgallery.ie/whats-on/the-flag-30-01",,"0035316615133","0035316615133","National Gallery of Ireland","National Gallery of Ireland, Merrion Square W, Dublin, Dublin","Dublin","53.3408887","-6.2522962","Yes","","26/01/2026","26/01/2026",,,"Yes"
"Elinor O’Donovan: Winter Sun","Event","Winter Sun is a moving-image work by Cork artist Elinor O’Donovan.

The work is a preserved piece of a warm Cork summer, saved for the months when it is most needed. Taking as its inspiration the iconic view from the top of Patrick’s Hill at Bells Field, the video work is a looping film depicting Corkonians sharing a moment of togetherness, connected by their mutual appreciation for a setting summer sun.

Projection-Mapping: Lightscape Studios
3D Artist: Bassam Issa Al-Sabah
Cinematography: Jack Desmond

Part of Island City – Cork’s Urban Sculpture Trail.

Readers are advised to check with the organiser before relying on the details published here. ","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/8a82912e-e327-4e85-affd-6dcb720dadcd/islandcitycork.jpg?w=640&q=66&fit=scale","https://triskelartscentre.ie/events/elinor-o-e2-80-99donovan-winter-sun/",,"00353214272022","","Triskel Arts Centre","Triskel Arts Centre, Tobin St, Centre, Cork","Cork","51.8973901","-8.476346399999999","Yes","","30/04/2026","30/04/2026",,,"Yes"
"Elinor O’Donovan: Winter Sun","Event","Winter Sun is a moving-image work by Cork artist Elinor O’Donovan.

The work is a preserved piece of a warm Cork summer, saved for the months when it is most needed. Taking as its inspiration the iconic view from the top of Patrick’s Hill at Bells Field, the video work is a looping film depicting Corkonians sharing a moment of togetherness, connected by their mutual appreciation for a setting summer sun.

Projection-Mapping: Lightscape Studios
3D Artist: Bassam Issa Al-Sabah
Cinematography: Jack Desmond

Part of Island City – Cork’s Urban Sculpture Trail.

Readers are advised to check with the organiser before relying on the details published here. ","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/8a82912e-e327-4e85-affd-6dcb720dadcd/islandcitycork.jpg?w=640&q=66&fit=scale","https://triskelartscentre.ie/events/elinor-o-e2-80-99donovan-winter-sun/",,"00353214272022","","Triskel Arts Centre","Triskel Arts Centre, Tobin St, Centre, Cork","Cork","51.8973901","-8.476346399999999","Yes","","23/04/2026","23/04/2026",,,"Yes"
"Elinor O’Donovan: Winter Sun","Event","Winter Sun is a moving-image work by Cork artist Elinor O’Donovan.

The work is a preserved piece of a warm Cork summer, saved for the months when it is most needed. Taking as its inspiration the iconic view from the top of Patrick’s Hill at Bells Field, the video work is a looping film depicting Corkonians sharing a moment of togetherness, connected by their mutual appreciation for a setting summer sun.

Projection-Mapping: Lightscape Studios
3D Artist: Bassam Issa Al-Sabah
Cinematography: Jack Desmond

Part of Island City – Cork’s Urban Sculpture Trail.

Readers are advised to check with the organiser before relying on the details published here. ","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/8a82912e-e327-4e85-affd-6dcb720dadcd/islandcitycork.jpg?w=640&q=66&fit=scale","https://triskelartscentre.ie/events/elinor-o-e2-80-99donovan-winter-sun/",,"00353214272022","","Triskel Arts Centre","Triskel Arts Centre, Tobin St, Centre, Cork","Cork","51.8973901","-8.476346399999999","Yes","","22/04/2026","22/04/2026",,,"Yes"
"Elinor O’Donovan: Winter Sun","Event","Winter Sun is a moving-image work by Cork artist Elinor O’Donovan.

The work is a preserved piece of a warm Cork summer, saved for the months when it is most needed. Taking as its inspiration the iconic view from the top of Patrick’s Hill at Bells Field, the video work is a looping film depicting Corkonians sharing a moment of togetherness, connected by their mutual appreciation for a setting summer sun.

Projection-Mapping: Lightscape Studios
3D Artist: Bassam Issa Al-Sabah
Cinematography: Jack Desmond

Part of Island City – Cork’s Urban Sculpture Trail.

Readers are advised to check with the organiser before relying on the details published here. ","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/8a82912e-e327-4e85-affd-6dcb720dadcd/islandcitycork.jpg?w=640&q=66&fit=scale","https://triskelartscentre.ie/events/elinor-o-e2-80-99donovan-winter-sun/",,"00353214272022","","Triskel Arts Centre","Triskel Arts Centre, Tobin St, Centre, Cork","Cork","51.8973901","-8.476346399999999","Yes","","24/04/2026","24/04/2026",,,"Yes"
"Elinor O’Donovan: Winter Sun","Event","Winter Sun is a moving-image work by Cork artist Elinor O’Donovan.

The work is a preserved piece of a warm Cork summer, saved for the months when it is most needed. Taking as its inspiration the iconic view from the top of Patrick’s Hill at Bells Field, the video work is a looping film depicting Corkonians sharing a moment of togetherness, connected by their mutual appreciation for a setting summer sun.

Projection-Mapping: Lightscape Studios
3D Artist: Bassam Issa Al-Sabah
Cinematography: Jack Desmond

Part of Island City – Cork’s Urban Sculpture Trail.

Readers are advised to check with the organiser before relying on the details published here. ","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/8a82912e-e327-4e85-affd-6dcb720dadcd/islandcitycork.jpg?w=640&q=66&fit=scale","https://triskelartscentre.ie/events/elinor-o-e2-80-99donovan-winter-sun/",,"00353214272022","","Triskel Arts Centre","Triskel Arts Centre, Tobin St, Centre, Cork","Cork","51.8973901","-8.476346399999999","Yes","","26/04/2026","26/04/2026",,,"Yes"
"Elinor O’Donovan: Winter Sun","Event","Winter Sun is a moving-image work by Cork artist Elinor O’Donovan.

The work is a preserved piece of a warm Cork summer, saved for the months when it is most needed. Taking as its inspiration the iconic view from the top of Patrick’s Hill at Bells Field, the video work is a looping film depicting Corkonians sharing a moment of togetherness, connected by their mutual appreciation for a setting summer sun.

Projection-Mapping: Lightscape Studios
3D Artist: Bassam Issa Al-Sabah
Cinematography: Jack Desmond

Part of Island City – Cork’s Urban Sculpture Trail.

Readers are advised to check with the organiser before relying on the details published here. ","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/8a82912e-e327-4e85-affd-6dcb720dadcd/islandcitycork.jpg?w=640&q=66&fit=scale","https://triskelartscentre.ie/events/elinor-o-e2-80-99donovan-winter-sun/",,"00353214272022","","Triskel Arts Centre","Triskel Arts Centre, Tobin St, Centre, Cork","Cork","51.8973901","-8.476346399999999","Yes","","25/04/2026","25/04/2026",,,"Yes"
